total_landmarks,elapsed_time
6.000000000000000000e+00,8.959770202636718750e-04
6.000000000000000000e+00,1.024961471557617188e-03
6.000000000000000000e+00,9.193420410156250000e-04
6.000000000000000000e+00,9.522438049316406250e-04
6.000000000000000000e+00,9.026527404785156250e-04
6.000000000000000000e+00,9.012222290039062500e-04
6.000000000000000000e+00,8.971691131591796875e-04
6.000000000000000000e+00,9.028911590576171875e-04
6.000000000000000000e+00,9.300708770751953125e-04
6.000000000000000000e+00,9.572505950927734375e-04
6.000000000000000000e+00,1.176357269287109375e-03
7.000000000000000000e+00,1.046419143676757812e-03
8.000000000000000000e+00,1.204729080200195312e-03
8.000000000000000000e+00,1.140832901000976562e-03
8.000000000000000000e+00,1.125097274780273438e-03
9.000000000000000000e+00,1.758098602294921875e-03
9.000000000000000000e+00,1.816987991333007812e-03
9.000000000000000000e+00,1.822233200073242188e-03
9.000000000000000000e+00,1.811504364013671875e-03
9.000000000000000000e+00,2.133607864379882812e-03
1.000000000000000000e+01,1.875162124633789062e-03
1.000000000000000000e+01,1.998662948608398438e-03
1.000000000000000000e+01,1.979112625122070312e-03
1.000000000000000000e+01,1.991987228393554688e-03
1.000000000000000000e+01,1.973152160644531250e-03
1.000000000000000000e+01,2.108097076416015625e-03
1.000000000000000000e+01,2.062320709228515625e-03
1.000000000000000000e+01,2.098321914672851562e-03
1.000000000000000000e+01,2.068042755126953125e-03
1.000000000000000000e+01,2.123832702636718750e-03
1.000000000000000000e+01,1.959800720214843750e-03
1.000000000000000000e+01,2.051591873168945312e-03
1.000000000000000000e+01,2.013444900512695312e-03
1.100000000000000000e+01,2.120494842529296875e-03
1.100000000000000000e+01,2.175807952880859375e-03
1.100000000000000000e+01,2.117156982421875000e-03
1.100000000000000000e+01,2.186298370361328125e-03
1.100000000000000000e+01,2.194643020629882812e-03
1.100000000000000000e+01,2.186775207519531250e-03
1.100000000000000000e+01,2.351760864257812500e-03
1.100000000000000000e+01,2.180099487304687500e-03
1.100000000000000000e+01,2.536773681640625000e-03
1.100000000000000000e+01,2.123832702636718750e-03
1.100000000000000000e+01,2.181529998779296875e-03
1.100000000000000000e+01,2.224922180175781250e-03
1.100000000000000000e+01,2.207756042480468750e-03
1.100000000000000000e+01,2.179145812988281250e-03
1.100000000000000000e+01,2.143621444702148438e-03
1.100000000000000000e+01,2.308845520019531250e-03
1.100000000000000000e+01,2.512216567993164062e-03
1.100000000000000000e+01,2.140522003173828125e-03
1.100000000000000000e+01,2.142906188964843750e-03
1.100000000000000000e+01,2.264499664306640625e-03
1.100000000000000000e+01,2.154827117919921875e-03
1.100000000000000000e+01,2.310991287231445312e-03
